1,ST12 of Si,A_tP12_96_ab
2,α-Ask,A_hR2_166_c
3,α-B,A_hR12_166_2h
4,α-CO,AB_cP8_198_a_a
5,α-Cristobalite,A2B_tP12_92_b_a
6,α-Ga,A_oC8_64_f
7,α-Hg,A_hR1_166_a
8,α-IrV,AB_oC8_65_j_g
9,α-La,A_hP4_194_ac
10,α-Mn,A_cI58_217_ac2g
11,α-N,A_cP8_198_2a
12,α-N,A_cP8_205_c
13,α-Np,A_oP8_62_2c
14,α-O,A_mC4_12_i
15,α-Pa,A_tI2_139_a
16,α-Po,A_cP1_221_a
17,α-Pu,A_mP16_11_8e
18,α-Quartz,A2B_hP9_152_c_a
19,α-ReO3,A3B_cP4_221_d_a
20,α-S,A_oF128_70_4h
21,α-Sm,A_hR3_166_ac
22,α-U,A_oC4_63_c
23,β-B,A_hR105_166_bc9h4i
24,β-BeO,AB_tP8_136_g_f
25,β-In2 S3,A2B3_tI80_141_ceh_3h
26,β-Mn,A_cP20_213_cd
27,β-Np,A_tP4_129_ac
28,β-Ok,A_hR2_166_c
29,β-Po,A_hR1_166_a
30,β-Pu,A_mC34_12_ah3i2j
31,β-Quartz,A2B_hP9_180_j_c
32,β-Se,A_mP32_14_8e
33,β-Sn,A_tI4_141_a
34,β-TiCu3,A3B_oP8_59_bf_a
35,β-Tridymite,A2B_hP12_194_cg_f
36,β-U,A_tP30_136_bf2ij
37,β-V2 N,AB2_hP9_162_ad_k
38,β0 -AuCd,AB_oP4_51_e_f
39,η-Fe2 C,AB2_oP6_58_a_g
40,γ-Brass,A5B8_cI52_217_ce_cg
41,γ-CuTi,AB_tP4_129_c_c
42,γ-N,A_tP4_136_f
43,γ-Pu,A_oF8_70_a
44,γ-Se,A_hP3_152_a
45,ω Phase,AB2_hP3_164_a_d
46,σ-CrFe,sigma_tP30_136_bf2ij
47,ζ-AgZn,A2B_hP9_147_g_ad
48,"0201 [(La,Ba)2 CuO4]",AB2C4_tI14_139_a_e_ce
49,1212C [YBa2 Cu3 O7−x],A2B3C7D_oP13_47_t_aq_eqrs_h
50,Al12 W,A12B_cI26_204_g_a
51,Al3 Ni2,A3B2_hP5_164_ad_d
52,Al3 Ti,A3B_tI8_139_bd_a
53,Al3 Zr,A3B_tI16_139_cde_e
54,Al4 Ba,A4B_tI10_139_de_a
55,Al5 C3 N,A5B3C_hP18_186_2a3b_2ab_b
56,AlB4 Mg,AB4C_hP6_191_a_h_b
57,AlCCr2,ABC2_hP8_194_d_a_f
