 1,α-Al2 S3,A2B3_hP30_169_2a_3a
 2,α-CuAlCl4,AB4C_tP12_112_b_n_e
 3,α-FeSe,AB_oC8_67_a_g
 4,α-Naumannite,A2B_oP12_17_abe_e
 5,α-NbO2,AB2_tI96_88_2f_4f
 6,α-P3 N5,A5B3_mC32_9_5a_3a
 7,α-PbO,AB_oC8_67_a_g
 8,α-PdCl2,A2B_oP6_58_g_a
 9,α-RbPr[MoO4]2,A2B8CD_oP24_48_k_2m_d_b
10,α-Sm3 Ge5,A5B3_hP16_190_bdh_g
11,α-ThSi2,A2B_tI12_141_e_a
12,α-Tl2 TeO3,A3BC2_oP48_50_3m_m_2m
13,α-Toluene,A7B8_mP120_14_14e_16e
14,β-Bi2 O3,A2B3_tP20_117_i_adgh
15,β-CuI,AB_hP4_156_ac_ac
16,β-Hg4 Pt,A4B_cI10_229_c_a
17,β-NbO2,AB2_tI48_80_2b_4b
18,β-PdCl2,A2B_hR18_148_2f_f
19,β-RuCl3,A3B_hP8_158_d_a
20,β-RuCl3,A3B_hP8_185_c_a
21,β-SeO2,A2B_oP12_26_abc_ab
22,β-Si3 N4,A4B3_hP14_173_bc_c
23,β-SiO2,A2B_hP9_181_j_c
24,β-Ta2 O5,A5B2_oP14_49_dehq_ab
25,β-ThI3,A3B_oC64_66_kl2m_bdl
26,β-Toluene,A7B8_oP120_60_7d_8d
27,β-V3 S,AB3_tP32_133_h_i2j
28,δ-PdCl2,A2B_mP6_10_mn_bg
29,δII H -NW2,AB2_hP9_164_bd_c2d
30,-NiAl3,A3B_oP16_62_cd_c
31,-WO3,A3B_mP16_7_6a_2a
32,γ-Ag3 SI,A3BC_hR5_146_b_a_a
33,γ-MgNiSn,A7B7C2_tP32_101_bde_ade_d
34,γ-PdCl2,A2B_mP6_14_e_a
35,γ-brass,A4B9_cP52_215_ei_3efgi
36,γ-brass,A3B10_cI52_229_e_fh
37,κ-alumina,A2B3_oP40_33_4a_6a
38,π-FeMg3 Al8 Si6,A8BC3D6_hP18_189_bfh_a_g_i
39,π-FeMg3 Al9 Si5,A9BC3D5_hP18_189_fi_a_g_bh
40,Ag3 [PO4],A3B4C_cP16_218_c_e_a
41,Ag5 Pb2 O6,A5B6C2_hP13_157_2ac_2c_b
42,AgUF6,AB6C_tP16_132_d_io_a
43,Akermanite,A2BC7D2_tP24_113_e_a_cef_e
44,Al2 CuIr§,A2BC_oC16_67_ag_b_g
45,Al2 S3,A2B3_hP30_170_2a_3a
46,Al4 C3,A4B3_hR7_166_2c_ac
47,Al4 U,A4B_oI20_74_beh_e
48,Al8 Cr5,A8B5_hR26_160_a3bc_a3b
49,Al9 Mn3 Si,A9B3C_hP26_194_hk_h_a
50,AlLi3 N2,AB3C2_cI96_206_c_e_ad
51,AlPO4,AB2_hP72_192_m_j2kl
52,Al[PO4],AB4C_hP72_168_2d_8d_2d
53,Al[PO4],AB4C_hP72_184_d_4d_d
54,Anhydrite,AB4C_oC24_63_c_fg_c
55,As2 Ba,A2B_mP18_7_6a_3a
56,AsPh4 CeS8 P4 Me8,AB32CD4E8_tP184_93_i_16p_af_2p_4p
57,AuCN,ABC_hP3_183_a_a_a
58,AuF3,AB3_hP24_178_b_ac
59,AuF3,AB3_hP24_179_b_ac
60,BN,AB_oF8_42_a_a
61,BPS4,ABC4_oI12_23_a_b_k
62,Ba5 In4 Bi5,A5B5C4_tP28_104_ac_ac_c
63,Ba5 Si3,A5B3_tP32_130_cg_cf
64,BaCr2 Ru4 O12,AB2C12D4_tP76_75_2a2b_2d_12d_4d
65,BaCu4 [VO][PO4]4,AB4C17D4E_tP54_90_a_g_c4g_g_c
66,BaGe2 As2,A2BC2_tP20_105_f_ac_2e
67,BaSi4 O9,AB9C4_hP28_188_e_kl_ak
68,Barite,AB4C_oP24_62_c_2cd_c
69,Be[BH4]2,A2BC8_tI176_110_2b_b_8b
70,Benzene,AB_oP48_61_3c_3c
71,Beryl,A2B3C18D6_hP58_192_c_f_lm_l
72,Bi2 O3,A2B3_hP20_159_bc_2c
73,Bi5 Nb3 O15,A5B3C15_oP46_30_a2c_bc_a7c
