Element Name,Symbol,Period,Group,Block,Atomic Number,Atomic Weight,Covalent Radius,vdW Radius
Actinium,Ac,7Act,20,f,89,[227],2.15,2
Aluminium,Al,3,13,p,13,26.982,1.21,2
Americium,Am,7Act,20,f,95,[243],1.8,2
Antimony,Sb,5,15,p,51,121.76,1.39,2
Argon,Ar,3,18,p,18,39.948,1.51,1.88
Arsenic,As,4,15,p,33,74.922,1.21,1.85
Astatine,At,6,17,p,85,[210],1.21,2
Barium,Ba,6,2,s,56,137.327,2.15,2
Berkelium,Bk,7Act,20,f,97,[247],1.54,2
Beryllium,Be,2,2,s,4,9.012,0.96,2
Bismuth,Bi,6,15,p,83,208.98,1.48,2
Bohrium,Bh,7,7,d,107,[264],1.5,2
Boron,B,2,13,p,5,10.811,0.83,2
Bromine,Br,4,17,p,35,79.904,1.21,1.85
Cadmium,Cd,5,12,d,48,112.411,1.54,1.58
Caesium,Cs,6,1,s,55,132.905,2.44,2
Calcium,Ca,4,2,s,20,40.078,1.76,2
Californium,Cf,7Act,20,f,98,[251],1.83,2
Carbon,C,2,14,p,6,12.011,0.68,1.7
Cerium,Ce,6Lan,19,f,58,140.116,2.04,2
Chlorine,Cl,3,17,p,17,35.453,0.99,1.75
Chromium,Cr,4,6,d,24,51.996,1.39,2
Cobalt,Co,4,9,d,27,58.933,1.26,2
Copper,Cu,4,11,d,29,63.546,1.32,1.4
Curium,Cm,7Act,20,f,96,[247],1.69,2
Darmstadtium,Ds,7,10,d,110,[271],1.5,2
Dubnium,Db,7,5,d,105,[262],1.5,2
Dysprosium,Dy,6Lan,19,f,66,162.5,1.92,2
Einsteinium,Es,7Act,20,f,99,[252],1.5,2
Erbium,Er,6Lan,19,f,68,167.26,1.89,2
Europium,Eu,6Lan,19,f,63,151.964,1.98,2
Fermium,Fm,7Act,20,f,100,[257],1.5,2
Fluorine,F,2,17,p,9,18.998,0.64,1.47
Francium,Fr,7,1,s,87,[223],2.6,2
Gadolinium,Gd,6Lan,19,f,64,157.25,1.96,2
Gallium,Ga,4,13,p,31,69.723,1.22,1.87
Germanium,Ge,4,14,p,32,72.61,1.17,2
Gold,Au,6,11,d,79,196.967,1.36,1.66
Hafnium,Hf,6,4,d,72,178.49,1.75,2
Hassium,Hs,7,8,d,108,[269],1.5,2
Helium,He,1,18,p,2,4.003,1.5,1.4
Holmium,Ho,6Lan,19,f,67,164.93,1.92,2
Hydrogen,H,1,1,s,1,1.008,0.23,1.09
Indium,In,5,13,p,49,114.818,1.42,1.93
Iodine,I,5,17,p,53,126.904,1.4,1.98
Iridium,Ir,6,9,d,77,192.217,1.41,2
Iron,Fe,4,8,d,26,55.845,1.52,2
Krypton,Kr,4,18,p,36,83.8,1.5,2.02
Lanthanum,La,6Lan,19,f,57,138.906,2.07,2
