time,on/off,note,velocity,channel,param
0.0,on,62,127,1,
1.0,off,62,0,1,
1.0,on,69,127,1,
2.0,off,69,0,1,
2.0,on,65,127,1,
3.0,off,65,0,1,
3.0,on,62,127,1,
4.0,off,62,0,1,
4.0,on,61,127,1,
5.0,off,61,0,1,
5.0,on,62,127,1,
5.5,off,62,0,1,
5.5,on,64,127,1,
6.0,off,64,0,1,
6.0,on,65,127,1,
7.25,off,65,0,1,
7.25,on,67,127,1,
7.5,off,67,0,1,
7.5,on,65,127,1,
7.75,off,65,0,1,
7.75,on,64,127,1,
8.0,off,64,0,1,
8.0,on,69,127,0,
8.0,on,62,127,1,
8.5,off,62,0,1,
8.5,on,64,127,1,
9.0,off,69,0,0,
9.0,off,64,0,1,
9.0,on,74,127,0,
9.0,on,65,127,1,
9.5,off,65,0,1,
9.5,on,67,127,1,
10.0,off,74,0,0,
10.0,off,67,0,1,
10.0,on,72,127,0,
10.0,on,69,127,1,
10.5,off,69,0,1,
10.5,on,57,127,1,
10.75,off,57,0,1,
10.75,on,59,127,1,
11.0,off,72,0,0,
11.0,off,59,0,1,
11.0,on,69,127,0,
11.0,on,60,127,1,
11.25,off,60,0,1,
11.25,on,57,127,1,
11.5,off,57,0,1,
11.5,on,65,127,1,
12.0,off,69,0,0,
12.0,on,68,127,0,
12.25,off,65,0,1,
12.25,on,59,127,1,
12.5,off,59,0,1,
12.5,on,64,127,1,
13.0,off,68,0,0,
13.0,on,69,127,0,
13.25,off,64,0,1,
13.25,on,65,127,1,
13.5,off,69,0,0,
13.5,off,65,0,1,
13.5,on,71,127,0,
13.5,on,64,127,1,
13.75,off,64,0,1,
13.75,on,62,127,1,
14.0,off,71,0,0,
14.0,off,62,0,1,
14.0,on,72,127,0,
14.0,on,64,127,1,
14.5,off,64,0,1,
14.5,on,66,127,1,
15.0,off,66,0,1,
15.0,on,67,127,1,
15.25,off,72,0,0,
15.25,on,74,127,0,
15.5,off,74,0,0,
15.5,on,72,127,0,
15.75,off,72,0,0,
15.75,on,70,127,0,
16.0,off,70,0,0,
16.0,on,69,127,0,
16.0,on,50,127,3,
16.25,off,69,0,0,
16.25,on,62,127,0,
16.5,off,67,0,1,
16.5,off,62,0,0,
16.5,on,74,127,0,
16.5,on,65,127,1,
17.0,off,50,0,3,
17.0,off,65,0,1,
17.0,on,64,127,1,
17.0,on,57,127,3,
17.5,off,74,0,0,
17.5,on,73,127,0,
18.0,off,64,0,1,
18.0,off,57,0,3,
18.0,off,73,0,0,
18.0,on,74,127,0,
18.0,on,62,127,1,
18.0,on,53,127,3,
18.25,off,74,0,0,
18.25,on,69,127,0,
18.5,off,69,0,0,
18.5,on,72,127,0,
18.75,off,62,0,1,
18.75,on,64,127,1,
19.0,off,53,0,3,
19.0,off,64,0,1,
19.0,on,65,127,1,
19.0,on,50,127,3,
19.25,off,72,0,0,
19.25,on,69,127,0,
19.5,off,69,0,0,
19.5,on,70,127,0,
19.75,off,65,0,1,
19.75,on,62,127,1,
20.0,off,50,0,3,
20.0,off,62,0,1,
20.0,on,67,127,1,
20.0,on,49,127,3,
20.25,off,70,0,0,
20.25,on,64,127,0,
20.5,off,64,0,0,
20.5,on,69,127,0,
20.75,off,67,0,1,
20.75,on,67,127,1,
21.0,off,49,0,3,
21.0,off,67,0,1,
21.0,on,65,127,1,
21.0,on,50,127,3,
21.25,off,65,0,1,
