tm,x,y
0.00000,0.00000,0.00000
0.02500,0.00001,0.00199
0.05000,0.00003,0.00398
0.07500,0.00007,0.00596
0.10000,0.00013,0.00794
0.12500,0.00021,0.00992
0.15000,0.00030,0.01189
0.17500,0.00040,0.01386
0.20000,0.00053,0.01581
0.22500,0.00067,0.01775
0.25000,0.00082,0.01969
0.27500,0.00099,0.02161
0.30000,0.00118,0.02352
0.32500,0.00138,0.02541
0.35000,0.00159,0.02729
0.37500,0.00182,0.02915
0.40000,0.00207,0.03099
0.42500,0.00232,0.03282
0.45000,0.00260,0.03462
0.47500,0.00288,0.03640
0.50000,0.00318,0.03817
0.52500,0.00349,0.03990
0.55000,0.00381,0.04162
0.57500,0.00415,0.04330
0.60000,0.00449,0.04497
0.62500,0.00485,0.04660
0.65000,0.00522,0.04821
0.67500,0.00559,0.04979
0.70000,0.00598,0.05134
0.72500,0.00638,0.05286
0.75000,0.00678,0.05435
0.77500,0.00719,0.05580
0.80000,0.00761,0.05723
0.82500,0.00804,0.05862
0.85000,0.00847,0.05997
0.87500,0.00891,0.06130
0.90000,0.00935,0.06259
0.92500,0.00980,0.06384
0.95000,0.01025,0.06506
0.97500,0.01070,0.06624
1.00000,0.01116,0.06738
1.02500,0.01162,0.06849
1.05000,0.01208,0.06956
1.07500,0.01254,0.07060
1.10000,0.01300,0.07159
1.12500,0.01346,0.07255
1.15000,0.01392,0.07347
1.17500,0.01438,0.07435
1.20000,0.01483,0.07520
1.22500,0.01529,0.07600
1.25000,0.01573,0.07677
1.27500,0.01618,0.07750
1.30000,0.01661,0.07819
1.32500,0.01705,0.07885
1.35000,0.01747,0.07946
1.37500,0.01789,0.08004
1.40000,0.01830,0.08058
1.42500,0.01870,0.08109
1.45000,0.01909,0.08156
1.47500,0.01947,0.08199
1.50000,0.01984,0.08239
1.52500,0.02020,0.08276
1.55000,0.02055,0.08309
1.57500,0.02089,0.08338
1.60000,0.02121,0.08364
1.62500,0.02152,0.08387
1.65000,0.02182,0.08407
1.67500,0.02209,0.08424
1.70000,0.02236,0.08438
1.72500,0.02261,0.08449
1.75000,0.02284,0.08457
1.77500,0.02305,0.08462
1.80000,0.02325,0.08464
1.82500,0.02343,0.08465
1.85000,0.02359,0.08462
1.87500,0.02373,0.08457
1.90000,0.02385,0.08450
1.92500,0.02395,0.08441
