x,y,z
-1.00000,-0.00000,-0.00000
-0.99995,-0.03000,-0.04998
-0.99980,-0.05996,-0.09983
-0.99955,-0.08988,-0.14944
-0.99920,-0.11971,-0.19867
-0.99875,-0.14944,-0.24740
-0.99820,-0.17903,-0.29552
-0.99755,-0.20846,-0.34290
-0.99680,-0.23770,-0.38942
-0.99595,-0.26673,-0.43497
-0.99500,-0.29552,-0.47943
-0.99396,-0.32404,-0.52269
-0.99281,-0.35227,-0.56464
-0.99156,-0.38019,-0.60519
-0.99022,-0.40776,-0.64422
-0.98877,-0.43497,-0.68164
-0.98723,-0.46178,-0.71736
-0.98558,-0.48818,-0.75128
-0.98384,-0.51414,-0.78333
-0.98200,-0.53963,-0.81342
-0.98007,-0.56464,-0.84147
-0.97803,-0.58914,-0.86742
-0.97590,-0.61312,-0.89121
-0.97367,-0.63654,-0.91276
-0.97134,-0.65938,-0.93204
-0.96891,-0.68164,-0.94898
-0.96639,-0.70328,-0.96356
-0.96377,-0.72429,-0.97572
-0.96106,-0.74464,-0.98545
-0.95824,-0.76433,-0.99271
-0.95534,-0.78333,-0.99749
-0.95233,-0.80162,-0.99978
-0.94924,-0.81919,-0.99957
-0.94604,-0.83603,-0.99687
-0.94275,-0.85211,-0.99166
-0.93937,-0.86742,-0.98399
-0.93590,-0.88196,-0.97385
-0.93233,-0.89570,-0.96128
-0.92866,-0.90863,-0.94630
-0.92491,-0.92075,-0.92896
-0.92106,-0.93204,-0.90930
-0.91712,-0.94249,-0.88736
-0.91309,-0.95209,-0.86321
-0.90897,-0.96084,-0.83690
-0.90475,-0.96872,-0.80850
-0.90045,-0.97572,-0.77807
-0.89605,-0.98185,-0.74571
-0.89157,-0.98710,-0.71147
-0.88699,-0.99146,-0.67546
-0.88233,-0.99492,-0.63776
-0.87758,-0.99749,-0.59847
-0.87274,-0.99917,-0.55768
-0.86782,-0.99994,-0.51550
-0.86281,-0.99982,-0.47203
-0.85771,-0.99879,-0.42738
-0.85252,-0.99687,-0.38166
-0.84726,-0.99404,-0.33499
-0.84190,-0.99033,-0.28748
-0.83646,-0.98572,-0.23925
-0.83094,-0.98022,-0.19042
-0.82534,-0.97385,-0.14112
-0.81965,-0.96659,-0.09146
-0.81388,-0.95847,-0.04158
-0.80803,-0.94949,0.00841
-0.80210,-0.93965,0.05837
-0.79608,-0.92896,0.10820
-0.78999,-0.91744,0.15775
-0.78382,-0.90509,0.20690
-0.77757,-0.89193,0.25554
-0.77125,-0.87796,0.30354
-0.76484,-0.86321,0.35078
-0.75836,-0.84768,0.39715
-0.75181,-0.83138,0.44252
-0.74517,-0.81434,0.48679
-0.73847,-0.79657,0.52984
-0.73169,-0.77807,0.57156
-0.72484,-0.75888,0.61186
-0.71791,-0.73901,0.65063
-0.71091,-0.71846,0.68777
-0.70385,-0.69728,0.72319
-0.69671,-0.67546,0.75680
-0.68950,-0.65304,0.78853
-0.68222,-0.63003,0.81828
-0.67488,-0.60645,0.84598
-0.66746,-0.58233,0.87158
-0.65998,-0.55768,0.89499
-0.65244,-0.53253,0.91617
-0.64483,-0.50691,0.93505
-0.63715,-0.48082,0.95160
-0.62941,-0.45431,0.96577
-0.62161,-0.42738,0.97753
-0.61375,-0.40007,0.98684
-0.60582,-0.37240,0.99369
-0.59783,-0.34439,0.99805
-0.58979,-0.31608,0.99992
-0.58168,-0.28748,0.99929
-0.57352,-0.25862,0.99616
-0.56530,-0.22953,0.99055
-0.55702,-0.20023,0.98245
-0.54869,-0.17075,0.97190
-0.54030,-0.14112,0.95892
-0.53186,-0.11136,0.94355
-0.52337,-0.08150,0.92581
-0.51482,-0.05157,0.90577
-0.50622,-0.02159,0.88345
-0.49757,0.00841,0.85893
-0.48887,0.03840,0.83227
-0.48012,0.06835,0.80352
-0.47133,0.09825,0.77276
-0.46249,0.12805,0.74008
-0.45360,0.15775,0.70554
-0.44466,0.18729,0.66924
-0.43568,0.21668,0.63127
-0.42666,0.24586,0.59172
-0.41759,0.27482,0.55069
-0.40849,0.30354,0.50828
-0.39934,0.33199,0.46460
-0.39015,0.36013,0.41976
-0.38092,0.38795,0.37388
-0.37166,0.41542,0.32705
-0.36236,0.44252,0.27942
-0.35302,0.46922,0.23108
-0.34365,0.49550,0.18216
-0.33424,0.52133,0.13279
-0.32480,0.54669,0.08309
-0.31532,0.57156,0.03318
-0.30582,0.59592,-0.01681
-0.29628,0.61974,-0.06676
-0.28672,0.64300,-0.11655
-0.27712,0.66568,-0.16604
-0.26750,0.68777,-0.21512
-0.25785,0.70923,-0.26366
-0.24818,0.73006,-0.31154
-0.23848,0.75023,-0.35864
-0.22875,0.76972,-0.40485
-0.21901,0.78853,-0.45004
-0.20924,0.80662,-0.49411
-0.19945,0.82398,-0.53695
-0.18964,0.84061,-0.57844
-0.17981,0.85648,-0.61849
-0.16997,0.87158,-0.65699
-0.16010,0.88589,-0.69384
-0.15023,0.89941,-0.72897
-0.14033,0.91211,-0.76227
-0.13042,0.92400,-0.79367
-0.12050,0.93505,-0.82308
-0.11057,0.94527,-0.85044
-0.10063,0.95463,-0.87567
-0.09067,0.96313,-0.89871
-0.08071,0.97077,-0.91950
-0.07074,0.97753,-0.93800
-0.06076,0.98341,-0.95415
-0.05077,0.98841,-0.96792
-0.04079,0.99252,-0.97927
-0.03079,0.99574,-0.98817
-0.02079,0.99805,-0.99460
-0.01080,0.99948,-0.99854
-0.00080,1.00000,-0.99999
0.00920,0.99962,-0.99894
0.01920,0.99834,-0.99539
0.02920,0.99616,-0.98936
0.03919,0.99309,-0.98085
0.04918,0.98913,-0.96989
0.05917,0.98427,-0.95651
0.06915,0.97853,-0.94073
0.07912,0.97190,-0.92260
0.08909,0.96441,-0.90217
0.09904,0.95604,-0.87948
0.10899,0.94681,-0.85460
0.11892,0.93674,-0.82758
0.12884,0.92581,-0.79849
0.13875,0.91406,-0.76740
0.14865,0.90148,-0.73440
0.15853,0.88810,-0.69956
0.16840,0.87391,-0.66297
0.17825,0.85893,-0.62472
0.18808,0.84319,-0.58492
0.19789,0.82668,-0.54365
0.20768,0.80943,-0.50102
0.21745,0.79145,-0.45714
0.22720,0.77276,-0.41212
0.23693,0.75338,-0.36607
0.24663,0.73332,-0.31910
0.25631,0.71259,-0.27133
0.26596,0.69123,-0.22289
0.27559,0.66924,-0.17389
0.28519,0.64665,-0.12445
0.29476,0.62348,-0.07471
0.30430,0.59975,-0.02478
0.31381,0.57548,0.02522
0.32329,0.55069,0.07515
0.33274,0.52540,0.12490
0.34215,0.49964,0.17433
0.35153,0.47343,0.22332
0.36087,0.44680,0.27176
0.37018,0.41976,0.31952
0.37945,0.39235,0.36648
0.38868,0.36458,0.41252
0.39788,0.33649,0.45754
0.40703,0.30809,0.50141
0.41615,0.27942,0.54402
0.42522,0.25049,0.58528
0.43425,0.22134,0.62507
0.44323,0.19199,0.66330
0.45218,0.16246,0.69987
0.46107,0.13279,0.73470
0.46992,0.10300,0.76769
0.47873,0.07312,0.79875
0.48748,0.04317,0.82783
0.49619,0.01318,0.85483
0.50485,-0.01681,0.87970
0.51345,-0.04680,0.90236
0.52201,-0.07674,0.92278
0.53051,-0.10661,0.94088
0.53896,-0.13639,0.95664
0.54736,-0.16604,0.97000
0.55570,-0.19555,0.98094
0.56399,-0.22487,0.98942
0.57221,-0.25400,0.99544
0.58039,-0.28290,0.99896
0.58850,-0.31154,0.99999
0.59656,-0.33990,0.99852
0.60455,-0.36796,0.99455
0.61249,-0.39569,0.98810
0.62036,-0.42306,0.97918
0.62817,-0.45004,0.96781
0.63592,-0.47663,0.95402
0.64361,-0.50278,0.93785
0.65123,-0.52848,0.91933
0.65879,-0.55371,0.89851
0.66628,-0.57844,0.87545
0.67370,-0.60265,0.85020
0.68106,-0.62631,0.82283
0.68834,-0.64941,0.79340
0.69556,-0.67193,0.76198
0.70271,-0.69384,0.72866
0.70979,-0.71513,0.69353
0.71680,-0.73578,0.65665
0.72374,-0.75576,0.61814
0.73060,-0.77506,0.57808
0.73739,-0.79367,0.53657
0.74411,-0.81156,0.49373
0.75075,-0.82872,0.44965
0.75732,-0.84513,0.40444
0.76382,-0.86079,0.35823
0.77023,-0.87567,0.31112
0.77657,-0.88976,0.26323
0.78283,-0.90305,0.21469
0.78901,-0.91553,0.16560
0.79512,-0.92718,0.11611
0.80114,-0.93800,0.06632
0.80709,-0.94798,0.01637
0.81295,-0.95710,-0.03362
0.81873,-0.96536,-0.08353
0.82444,-0.97275,-0.13323
0.83005,-0.97927,-0.18260
0.83559,-0.98490,-0.23151
0.84104,-0.98965,-0.27984
0.84641,-0.99351,-0.32747
0.85169,-0.99648,-0.37429
0.85689,-0.99854,-0.42017
0.86200,-0.99971,-0.46500
0.86703,-0.99998,-0.50866
0.87197,-0.99935,-0.55106
0.87682,-0.99782,-0.59207
0.88158,-0.99539,-0.63161
0.88626,-0.99207,-0.66957
0.89085,-0.98785,-0.70585
0.89534,-0.98275,-0.74038
0.89975,-0.97676,-0.77305
0.90407,-0.96989,-0.80378
0.90830,-0.96215,-0.83251
0.91244,-0.95354,-0.85916
0.91648,-0.94408,-0.88366
0.92044,-0.93376,-0.90595
0.92430,-0.92260,-0.92598
0.92807,-0.91062,-0.94370
0.93175,-0.89781,-0.95905
0.93533,-0.88420,-0.97201
0.93883,-0.86979,-0.98254
0.94222,-0.85460,-0.99061
0.94553,-0.83864,-0.99620
0.94873,-0.82192,-0.99931
0.95185,-0.80447,-0.99992
0.95486,-0.78629,-0.99803
0.95779,-0.76740,-0.99364
0.96061,-0.74782,-0.98677
0.96334,-0.72757,-0.97744
0.96598,-0.70667,-0.96566
0.96852,-0.68513,-0.95147
0.97096,-0.66297,-0.93490
0.97330,-0.64021,-0.91599
0.97555,-0.61688,-0.89479
0.97770,-0.59300,-0.87136
0.97975,-0.56858,-0.84575
0.98170,-0.54365,-0.81802
0.98356,-0.51823,-0.78825
0.98531,-0.49234,-0.75651
0.98697,-0.46601,-0.72288
0.98853,-0.43926,-0.68744
0.98999,-0.41212,-0.65029
0.99135,-0.38460,-0.61151
0.99262,-0.35674,-0.57120
0.99378,-0.32856,-0.52946
0.99484,-0.30008,-0.48640
0.99581,-0.27133,-0.44212
0.99667,-0.24234,-0.39674
0.99744,-0.21313,-0.35037
0.99810,-0.18373,-0.30312
